Author,Esayed,,,,,,,,,,,
DOI,10.1016/S0360-3199(99)00025-7,,,,,,,,,,,
Location,Figure 2,,,,,,,,,,,
,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),320,,320,,350,,350,,375,,375,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.127,0.425,0.075,0.063,0.091,0.57,0.087,0.249,0.075,0.436,0.077,0.198
,0.23,0.562,0.108,0.094,0.122,1.19,0.168,0.357,0.095,0.818,0.103,0.316
,0.353,0.652,0.151,0.138,0.267,1.325,0.301,0.425,0.161,1.494,0.207,0.436
,0.489,0.687,0.274,0.147,0.38,1.397,0.45,0.454,0.316,1.686,0.334,0.533
,0.622,0.706,0.397,0.156,0.49,1.435,0.57,0.479,0.462,1.851,0.482,0.547
,0.754,0.745,0.562,0.162,0.623,1.435,0.702,0.492,0.617,1.927,0.612,0.555
,0.903,0.987,0.717,0.169,0.794,1.641,0.832,0.533,0.775,2.116,0.767,0.593
,,,0.859,0.19,0.912,3.205,0.926,0.755,0.918,2.657,0.871,0.643
,,,0.902,0.292,0.919,4.985,,,0.912,4.189,0.913,1.174
,,,0.919,0.473,,,,,0.919,6.429,,
