Author,Singh,,,,,
DOI,10.1016/j.jallcom.2003.11.005,,,,,
Location,Figure 3a,,,,,
,,,,,,
Abs/Des,Des,,Des,,Des,
Temp (K),325,,350,,375,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.1317,0.9742,0.0466,1.0430,0.0001,0.9139
,0.4489,2.0088,0.0931,2.0226,0.0084,3.9234
,1.2730,4.0704,0.2211,3.9152,0.0861,6.0142
,1.3662,6.0297,0.8131,5.9859,0.4499,7.8975
,1.4593,7.9891,1.1306,8.0019,0.9027,9.9083
,1.5022,9.9503,1.2740,9.8938,1.2279,11.9240
,1.5064,11.9131,1.3633,11.9841,1.3675,13.8815
,1.5028,13.9416,1.4139,13.8797,1.4142,15.8426
,1.5070,15.9044,1.4606,15.8408,1.4145,17.8055
,,,1.4609,17.8037,,
,,,,,,
,,,,,,
