Author,Hagstrom,,,
DOI,10.1016/S0925-8388(98)00213-8,,,
Location,Figure 8 (Hydralloy C2),,,
,,,,
Abs/Des,Abs,,Des,
Temp (K),298,,333,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.197,4.254,0.259,11.819
,0.385,8.665,0.451,25.293
,0.653,13.581,0.694,35.899
,0.904,17.18,0.912,40.445
,1.114,21.361,1.138,47.88
,1.307,26.119,1.306,56.622
,1.461,33.53,1.415,65.795
,1.524,46.658,1.44,76.338
,1.565,75.265,1.49,90.082
,1.594,101.278,1.498,104.484
,,,1.506,135.99
